key,Con,型番,t,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,3.3(R),3.4(R),3.5(R),3.6(R)
QL99-75-16G（単純支持）_軽量t85,軽量,QL99-75-16G（単純支持）,85,,,,,,,13230,13230,13230,13230,13230,13230,13230,13230,13230,認定外,認定外,認定外,認定外,,,,,,,,
QL99-75-16G（単純支持）_軽量t90,軽量,QL99-75-16G（単純支持）,90,,,,,,,13140,13140,13140,13140,13140,13140,13140,13140,13140,認定外,認定外,認定外,認定外,,,,,,,,
QL99-75-16G（単純支持）_軽量t95,軽量,QL99-75-16G（単純支持）,95,,,,,,,13040,13040,13040,13040,13040,13040,13040,13040,13040,認定外,認定外,認定外,認定外,,,,,,,,
QL99-75-16G（単純支持）_軽量t100,軽量,QL99-75-16G（単純支持）,100,,,,,,,12950,12950,12950,12950,12950,12950,12950,12950,12950,認定外,認定外,認定外,認定外,,,,,,,,
QL99-75-16G_普通t90,普通,QL99-75-16G,90,,,,,,,13230,13230,13230,13230,13230,13230,13230,13230,13230,13230,13230,12660,11960,,,,,,,,
QL99-75-16G_普通t95,普通,QL99-75-16G,95,,,,,,,13120,13120,13120,13120,13120,13120,13120,13120,13120,13120,13120,13120,12680,,,,,,,,
QL99-75-16G_普通t100,普通,QL99-75-16G,100,,,,,,,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,
QL99-75-12G_普通t90,普通,QL99-75-12G,90,,,,,,,13280,13280,13280,13280,13280,13280,13280,13280,13150,12180,11290,10480,9740,,,,,,,,
QL99-75-12G_普通t95,普通,QL99-75-12G,95,,,,,,,13160,13160,13160,13160,13160,13160,13160,13160,13160,12870,11930,11080,10290,,,,,,,,
QL99-75-12G_普通t100,普通,QL99-75-12G,100,,,,,,,13050,13050,13050,13050,13050,13050,13050,13050,13050,13050,12470,11580,10760,,,,,,,,
QL99-75-10G_普通t90,普通,QL99-75-10G,90,,,,,,,13300,13300,13300,13300,13300,13300,12630,11630,10730,9900,9150,8460,7820,,,,,,,,
QL99-75-10G_普通t95,普通,QL99-75-10G,95,,,,,,,13180,13180,13180,13180,13180,13180,13180,12290,11340,10470,9680,8950,8280,,,,,,,,
QL99-75-10G_普通t100,普通,QL99-75-10G,100,,,,,,,13070,13070,13070,13070,13070,13070,13070,12840,11840,10940,10110,9350,8660,,,,,,,,
QL99-50-10G_普通t80,普通,QL99-50-10G,80,,,14970,14970,14970,14970,14550,13210,12020,10960,10010,9160,8390,7700,7070,6120,5620,,,,,,,,,,
QL99-50-10G_普通t85,普通,QL99-50-10G,85,,,14850,14850,14850,14850,14430,13090,11900,10840,9900,9040,8280,7580,6950,6380,5850,,,,,,,,,,
QL99-50-10G_普通t90,普通,QL99-50-10G,90,,,14740,14740,14740,14740,14320,12980,11790,10730,9780,8930,8160,7470,6840,6260,5740,,,,,,,,,,
QL99-50-10G_普通t95,普通,QL99-50-10G,95,,,14620,14620,14620,14620,14200,12860,11670,10610,9670,8810,8050,7350,6720,6150,5620,,,,,,,,,,
QL99-50-10G_普通t100,普通,QL99-50-10G,100,,,14510,14510,14510,14510,14090,12750,11560,10500,9550,8700,7930,7240,6610,6030,5510,,,,,,,,,,
QL99-50-12G_普通t80,普通,QL99-50-12G,80,,,14990,14990,14990,14990,14570,13230,12040,10980,10030,9180,8410,7050,6460,5880,5160,,,,,,,,,,
QL99-50-12G_普通t85,普通,QL99-50-12G,85,,,14870,14870,14870,14870,14450,13110,11920,10860,9920,9060,8300,7600,6970,6400,5830,,,,,,,,,,
QL99-50-12G_普通t90,普通,QL99-50-12G,90,,,14760,14760,14760,14760,14340,13000,11810,10750,9800,8950,8180,7490,6860,6280,5760,,,,,,,,,,
QL99-50-12G_普通t95,普通,QL99-50-12G,95,,,14640,14640,14640,14640,14220,12880,11690,10630,9690,8830,8070,7370,6740,6170,5640,,,,,,,,,,
QL99-50-12G_普通t100,普通,QL99-50-12G,100,,,14530,14530,14530,14530,14110,12770,11580,10520,9570,8720,7950,7260,6630,6050,5530,,,,,,,,,,
QL99-50-16G_普通t80,普通,QL99-50-16G,80,,,14930,14930,14930,14930,14500,13160,11980,10920,9970,9120,8350,7650,7020,6450,5930,,,,,,,,,,
QL99-50-16G_普通t85,普通,QL99-50-16G,85,,,14810,14810,14810,14810,14390,13050,11860,10800,9850,9000,8230,7540,6910,6340,5810,,,,,,,,,,
QL99-50-16G_普通t90,普通,QL99-50-16G,90,,,14700,14700,14700,14700,14270,12930,11750,10690,9740,8890,8120,7420,6790,6220,5700,,,,,,,,,,
QL99-50-16G_普通t95,普通,QL99-50-16G,95,,,14580,14580,14580,14580,14160,12820,11630,10570,9620,8770,8000,7310,6680,6110,5580,,,,,,,,,,
QL99-50-16G_普通t100,普通,QL99-50-16G,100,,,14470,14470,14470,14470,14040,12700,11520,10460,9510,8660,7890,7190,6560,5990,5470,,,,,,,,,,
QL99-50-16P_普通t80,普通,QL99-50-16P,80,,,14930,14930,14930,14930,14510,13170,11980,10920,9970,9120,8350,7660,7030,6450,5930,,,,,,,,,,
QL99-50-16P_普通t85,普通,QL99-50-16P,85,,,14810,14810,14810,14810,14390,13050,11860,10800,9860,9000,8240,7540,6910,6340,5810,,,,,,,,,,
QL99-50-16P_普通t90,普通,QL99-50-16P,90,,,14700,14700,14700,14700,14280,12940,11750,10690,9740,8890,8120,7430,6800,6220,5700,,,,,,,,,,
QL99-50-16P_普通t95,普通,QL99-50-16P,95,,,14580,14580,14580,14580,14160,12820,11630,10570,9630,8770,8010,7310,6680,6110,5580,,,,,,,,,,
QL99-50-16P_普通t100,普通,QL99-50-16P,100,,,14470,14470,14470,14470,14050,12710,11520,10460,9510,8660,7890,7200,6570,5990,5470,,,,,,,,,,
QL99-75-10G_普通t80,普通,QL99-75-10G,80,,,,,,,,17610,16070,14690,13460,12360,11360,10460,9640,8890,8210,7590,7020,,,,,8870,8190,7440,6610
QL99-75-10G_普通t85,普通,QL99-75-10G,85,,,,,,,,18100,16510,15100,13830,12690,11670,10740,9900,9130,8430,7790,7200,,,,,9100,8400,7760,7170
QL99-75-10G_普通t90,普通,QL99-75-10G,90,,,,,,,,17980,16390,14980,13710,12570,11550,10620,9780,9010,8310,7670,7080,,,,,8980,8280,7640,7050
QL99-75-10G_普通t95,普通,QL99-75-10G,95,,,,,,,,17870,16280,14870,13600,12460,11440,10510,9670,8900,8200,7560,6970,,,,,8870,8170,7530,6940
QL99-75-10G_普通t100,普通,QL99-75-10G,100,,,,,,,,17750,16160,14750,13480,12340,11320,10390,9550,8780,8080,7440,6850,,,,,8750,8050,7410,6820
QL99-75-12G_普通t80,普通,QL99-75-12G,80,,,,,,,,18190,16600,15190,13920,12780,11760,10830,9990,9220,8520,7880,7290,,,,,9190,8490,7850,7260
QL99-75-12G_普通t85,普通,QL99-75-12G,85,,,,,,,,18070,16480,15070,13800,12660,11640,10710,9870,9100,8400,7760,7170,,,,,9070,8370,7730,7140
QL99-75-12G_普通t90,普通,QL99-75-12G,90,,,,,,,,17960,16370,14960,13690,12550,11530,10600,9760,8990,8290,7650,7060,,,,,8960,8260,7620,7030
QL99-75-12G_普通t95,普通,QL99-75-12G,95,,,,,,,,17840,16250,14840,13570,12430,11410,10480,9640,8870,8170,7530,6940,,,,,8840,8140,7500,6910
QL99-75-12G_普通t100,普通,QL99-75-12G,100,,,,,,,,17730,16140,14730,13460,12320,11300,10370,9530,8760,8060,7420,6830,,,,,8730,8030,7390,6800
QL99-75-16G_普通t80,普通,QL99-75-16G,80,,,,,,,,18140,16550,15140,13870,12730,11710,10780,9940,9170,8470,7830,7240,,,,,9140,8440,7800,7210
QL99-75-16G_普通t85,普通,QL99-75-16G,85,,,,,,,,18030,16440,15030,13760,12620,11600,10670,9830,9060,8360,7720,7130,,,,,9030,8330,7690,7100
QL99-75-16G_普通t90,普通,QL99-75-16G,90,,,,,,,,17910,16320,14910,13640,12500,11480,10550,9710,8940,8240,7600,7010,,,,,8910,8210,7570,6980
QL99-75-16G_普通t95,普通,QL99-75-16G,95,,,,,,,,17800,16210,14800,13530,12390,11370,10440,9600,8830,8130,7490,6900,,,,,8800,8100,7460,6870
QL99-75-16G_普通t100,普通,QL99-75-16G,100,,,,,,,,17680,16090,14680,13410,12270,11250,10320,9480,8710,8010,7370,6780,,,,,8680,7980,7340,6750
QL99-75-12G_軽量t80,軽量,QL99-75-12G,80,,,,,,,,17680,16160,14810,13600,12520,11540,10650,9850,9120,8450,7840,7280,,,,,9100,8430,7820,7250
QL99-75-12G_軽量t85,軽量,QL99-75-12G,85,,,,,,,,17590,16070,14720,13510,12430,11450,10560,9760,9030,8360,7750,7190,,,,,9000,8330,7720,7160
QL99-75-12G_軽量t90,軽量,QL99-75-12G,90,,,,,,,,17490,15970,14620,13410,12330,11350,10460,9660,8930,8260,7650,7090,,,,,8910,8240,7630,7060
QL99-75-12G_軽量t95,軽量,QL99-75-12G,95,,,,,,,,17400,15880,14530,13320,12240,11260,10370,9570,8840,8170,7560,7000,,,,,8810,8140,7530,6970
QL99-75-12G_軽量t100,軽量,QL99-75-12G,100,,,,,,,,17300,15780,14430,13220,12140,11160,10270,9470,8740,8070,7460,6900,,,,,8720,8050,7440,6870
