key,断面,鋼種,lb,幅厚比柱,幅厚比梁,Zxe,Zye,Ae
H-606x201x12x20x13-SN490,H-606x201x12x20x13,SN490,2.72,FD,FA,2910,270,143.7
H-612x202x13x23x13-SN400,H-612x202x13x23x13,SN400,4.31,FB,FA,3310,314,168
H-612x202x13x23x13-SN490,H-612x202x13x23x13,SN490,3.12,FD,FA,3310,314,166.7
SH-400x200x9x12x13-SN400,SH-400x200x9x12x13,SN400,3.41,FA,FA,1130,160,83.29
SH-400x200x9x12x13-SN490,SH-400x200x9x12x13,SN490,2.46,FD,FB,1130,160,83.29
SH-400x200x9x16x13-SN400,SH-400x200x9x16x13,SN400,4.54,FA,FA,1390,214,98.57
SH-400x200x9x16x13-SN490,SH-400x200x9x16x13,SN490,3.29,FD,FA,1390,214,98.57
SH-400x200x9x19x13-SN400,SH-400x200x9x19x13,SN400,5.4,FA,FA,1580,254,110
SH-400x200x9x19x13-SN490,SH-400x200x9x19x13,SN490,3.9,FC,FA,1580,254,110
SH-400x200x9x22x13-SN400,SH-400x200x9x22x13,SN400,6.25,FA,FA,1760,294,121.5
SH-400x200x9x22x13-SN490,SH-400x200x9x22x13,SN490,4.52,FC,FA,1760,294,121.5
SH-400x200x12x16x13-SN400,SH-400x200x12x16x13,SN400,4.54,FA,FA,1450,214,109.6
SH-400x200x12x16x13-SN490,SH-400x200x12x16x13,SN490,3.29,FA,FA,1450,214,109.6
SH-400x200x12x19x13-SN400,SH-400x200x12x19x13,SN400,5.4,FA,FA,1640,254,120.9
SH-400x200x12x19x13-SN490,SH-400x200x12x19x13,SN490,3.9,FA,FA,1640,254,120.9
SH-400x200x12x22x13-SN400,SH-400x200x12x22x13,SN400,6.25,FA,FA,1820,294,132.2
SH-400x200x12x22x13-SN490,SH-400x200x12x22x13,SN490,4.52,FA,FA,1820,294,132.2
SH-450x200x9x12x13-SN400,SH-450x200x9x12x13,SN400,3.03,FC,FA,1310,160,87.79
SH-450x200x9x12x13-SN490,SH-450x200x9x12x13,SN490,2.19,FD,FB,1310,160,84.81
SH-450x200x9x16x13-SN400,SH-450x200x9x16x13,SN400,4.04,FC,FA,1610,214,103.1
SH-450x200x9x16x13-SN490,SH-450x200x9x16x13,SN490,2.92,FD,FA,1610,214,100.8
SH-450x200x9x19x13-SN400,SH-450x200x9x19x13,SN400,4.8,FC,FA,1830,254,114.5
SH-450x200x9x19x13-SN490,SH-450x200x9x19x13,SN490,3.47,FD,FA,1830,254,112.8
SH-450x200x9x22x13-SN400,SH-450x200x9x22x13,SN400,5.55,FC,FA,2040,294,126
SH-450x200x9x22x13-SN490,SH-450x200x9x22x13,SN490,4.02,FD,FA,2040,294,124.8
SH-450x200x12x16x13-SN400,SH-450x200x12x16x13,SN400,4.04,FA,FA,1690,214,115.6
SH-450x200x12x16x13-SN490,SH-450x200x12x16x13,SN490,2.92,FA,FA,1690,214,115.6
SH-450x200x12x19x13-SN400,SH-450x200x12x19x13,SN400,4.8,FA,FA,1910,254,126.9
SH-450x200x12x19x13-SN490,SH-450x200x12x19x13,SN490,3.47,FA,FA,1910,254,126.9
SH-450x200x12x22x13-SN400,SH-450x200x12x22x13,SN400,5.55,FA,FA,2120,294,138.2
SH-450x200x12x22x13-SN490,SH-450x200x12x22x13,SN490,4.02,FA,FA,2120,294,138.2
SH-450x200x12x25x13-SN400,SH-450x200x12x25x13,SN400,6.31,FA,FA,2320,334,149.5
SH-450x200x12x25x13-SN490,SH-450x200x12x25x13,SN490,4.56,FA,FA,2320,334,149.5
SH-450x250x9x12x13-SN400,SH-450x250x9x12x13,SN400,3.79,FC,FB,1570,250,99.79
SH-450x250x9x12x13-SN490,SH-450x250x9x12x13,SN490,2.74,FD,FC,1570,250,96.81
SH-450x250x9x16x13-SN400,SH-450x250x9x16x13,SN400,5.05,FC,FA,1950,334,119.1
SH-450x250x9x16x13-SN490,SH-450x250x9x16x13,SN490,3.65,FD,FB,1950,334,116.8
SH-450x250x9x19x13-SN400,SH-450x250x9x19x13,SN400,6,FC,FA,2220,396,133.5
SH-450x250x9x19x13-SN490,SH-450x250x9x19x13,SN490,4.34,FD,FA,2220,396,131.8
SH-450x250x9x22x13-SN400,SH-450x250x9x22x13,SN400,6.94,FC,FA,2490,459,148
SH-450x250x9x22x13-SN490,SH-450x250x9x22x13,SN490,5.02,FD,FA,2490,459,146.8
SH-450x250x12x16x13-SN400,SH-450x250x12x16x13,SN400,5.05,FA,FA,2030,334,131.6
SH-450x250x12x16x13-SN490,SH-450x250x12x16x13,SN490,3.65,FA,FB,2030,334,131.6
SH-450x250x12x19x13-SN400,SH-450x250x12x19x13,SN400,6,FA,FA,2300,396,145.9
SH-450x250x12x19x13-SN490,SH-450x250x12x19x13,SN490,4.34,FA,FA,2300,396,145.9
SH-450x250x12x22x13-SN400,SH-450x250x12x22x13,SN400,6.94,FA,FA,2560,459,160.2
SH-450x250x12x22x13-SN490,SH-450x250x12x22x13,SN490,5.02,FA,FA,2560,459,160.2
SH-450x250x12x25x13-SN400,SH-450x250x12x25x13,SN400,7.89,FA,FA,2820,521,174.5
SH-450x250x12x25x13-SN490,SH-450x250x12x25x13,SN490,5.71,FA,FA,2820,521,174.5
SH-450x250x12x28x13-SN400,SH-450x250x12x28x13,SN400,8.84,FA,FA,3070,584,188.7
SH-450x250x12x28x13-SN490,SH-450x250x12x28x13,SN490,6.39,FA,FA,3070,584,188.7
SH-500x200x9x12x13-SN400,SH-500x200x9x12x13,SN400,2.73,FD,FA,1500,160,90.63
SH-500x200x9x12x13-SN490,SH-500x200x9x12x13,SN490,1.97,FD,FB,1500,160,84.81
SH-500x200x9x16x13-SN400,SH-500x200x9x16x13,SN400,3.64,FD,FA,1840,214,106.6
SH-500x200x9x16x13-SN490,SH-500x200x9x16x13,SN490,2.63,FD,FB,1840,214,100.8
SH-500x200x9x19x13-SN400,SH-500x200x9x19x13,SN400,4.32,FD,FA,2090,254,118.6
SH-500x200x9x19x13-SN490,SH-500x200x9x19x13,SN490,3.12,FD,FB,2090,254,112.8
SH-500x200x9x22x13-SN400,SH-500x200x9x22x13,SN400,5,FD,FA,2330,294,130.5
SH-500x200x9x22x13-SN490,SH-500x200x9x22x13,SN490,3.61,FD,FA,2330,294,124.8
SH-500x200x12x16x13-SN400,SH-500x200x12x16x13,SN400,3.64,FA,FA,1940,214,121.6
SH-500x200x12x16x13-SN490,SH-500x200x12x16x13,SN490,2.63,FC,FA,1940,214,121.6
SH-500x200x12x19x13-SN400,SH-500x200x12x19x13,SN400,4.32,FA,FA,2180,254,132.9
SH-500x200x12x19x13-SN490,SH-500x200x12x19x13,SN490,3.12,FC,FA,2180,254,132.9
SH-500x200x12x22x13-SN400,SH-500x200x12x22x13,SN400,5,FA,FA,2420,294,144.2
SH-500x200x12x22x13-SN490,SH-500x200x12x22x13,SN490,3.61,FB,FA,2420,294,144.2
SH-500x200x12x25x13-SN400,SH-500x200x12x25x13,SN400,5.68,FA,FA,2650,334,155.5
SH-500x200x12x25x13-SN490,SH-500x200x12x25x13,SN490,4.11,FB,FA,2650,334,155.5
SH-500x250x9x12x13-SN400,SH-500x250x9x12x13,SN400,3.41,FD,FB,1780,250,102.6
SH-500x250x9x12x13-SN490,SH-500x250x9x12x13,SN490,2.46,FD,FC,1780,250,96.81
SH-500x250x9x16x13-SN400,SH-500x250x9x16x13,SN400,4.54,FD,FA,2210,334,122.6
SH-500x250x9x16x13-SN490,SH-500x250x9x16x13,SN490,3.29,FD,FB,2210,334,116.8
SH-500x250x9x19x13-SN400,SH-500x250x9x19x13,SN400,5.4,FD,FA,2530,396,137.6
SH-500x250x9x19x13-SN490,SH-500x250x9x19x13,SN490,3.9,FD,FB,2530,396,131.8
SH-500x250x9x22x13-SN400,SH-500x250x9x22x13,SN400,6.25,FD,FA,2830,459,152.5
SH-500x250x9x22x13-SN490,SH-500x250x9x22x13,SN490,4.52,FD,FA,2830,459,146.8
SH-500x250x12x16x13-SN400,SH-500x250x12x16x13,SN400,4.54,FA,FA,2320,334,137.6
SH-500x250x12x16x13-SN490,SH-500x250x12x16x13,SN490,3.29,FC,FB,2320,334,137.6
SH-500x250x12x19x13-SN400,SH-500x250x12x19x13,SN400,5.4,FA,FA,2620,396,151.9
SH-500x250x12x19x13-SN490,SH-500x250x12x19x13,SN490,3.9,FC,FA,2620,396,151.9
SH-500x250x12x22x13-SN400,SH-500x250x12x22x13,SN400,6.25,FA,FA,2920,459,166.2
SH-500x250x12x22x13-SN490,SH-500x250x12x22x13,SN490,4.52,FB,FA,2920,459,166.2
SH-500x250x12x25x13-SN400,SH-500x250x12x25x13,SN400,7.1,FA,FA,3220,521,180.5
SH-500x250x12x25x13-SN490,SH-500x250x12x25x13,SN490,5.13,FB,FA,3220,521,180.5
SH-500x250x12x28x13-SN400,SH-500x250x12x28x13,SN400,7.95,FA,FA,3500,584,194.7
SH-500x250x12x28x13-SN490,SH-500x250x12x28x13,SN490,5.75,FB,FA,3500,584,194.7
SH-500x300x9x16x13-SN400,SH-500x300x9x16x13,SN400,5.45,FD,FB,2590,480,138.6
SH-500x300x9x16x13-SN490,SH-500x300x9x16x13,SN490,3.94,FD,FC,2590,480,132.8
SH-500x300x9x19x13-SN400,SH-500x300x9x19x13,SN400,6.48,FD,FA,2960,570,156.6
SH-500x300x9x19x13-SN490,SH-500x300x9x19x13,SN490,4.68,FD,FB,2960,570,150.8
