*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
*,SH,950×350,SH-950x350x16x22x18,950,350,16,22,18,301.7,237,436000,15800,38,7.23,9190,900,8.86,10.9,10600,1410,16,22,4.6,FD,FA,9190,900,285.3,3.33,FD,FC,9190,900,266.9,3.05,FD,FC,9190,900,262.4
*,SH,950×350,SH-950x350x16x25x18,950,350,16,25,18,321.8,253,477000,17900,38.5,7.46,10000,1020,9.01,9.78,11500,1590,16,25,5.23,FD,FA,10000,1020,306.3,3.78,FD,FC,10000,1020,287.9,3.46,FD,FC,10000,1020,283.4
*,SH,950×350,SH-950x350x16x28x18,950,350,16,28,18,341.8,268,517000,20000,38.9,7.66,10900,1150,9.12,8.85,12400,1780,16,28,5.86,FD,FA,10900,1150,327.3,4.24,FD,FC,10900,1150,308.9,3.88,FD,FC,10900,1150,304.4
*,SH,950×350,SH-950x350x16x32x18,950,350,16,32,18,368.5,289,570000,22900,39.3,7.88,12000,1310,9.25,7.85,13500,2020,16,32,6.7,FD,FA,12000,1310,355.3,4.84,FD,FC,12000,1310,336.9,4.43,FD,FC,12000,1310,332.4
*,SH,950×350,SH-950x350x19x25x18,950,350,19,25,18,348.8,274,495000,17900,37.7,7.17,10400,1020,8.85,9.61,12100,1620,19,25,5.23,FC,FA,10400,1020,348.8,3.78,FD,FA,10400,1020,331.8,3.46,FD,FA,10400,1020,325.4
*,SH,950×350,SH-950x350x19x28x18,950,350,19,28,18,368.6,289,535000,20100,38.1,7.38,11300,1150,8.98,8.71,13000,1800,19,28,5.86,FC,FA,11300,1150,368.6,4.24,FD,FA,11300,1150,352.8,3.88,FD,FA,11300,1150,346.4
*,SH,950×350,SH-950x350x19x32x18,950,350,19,32,18,395.1,310,588000,22900,38.6,7.62,12400,1310,9.13,7.74,14100,2040,19,32,6.7,FC,FA,12400,1310,395.1,4.84,FD,FA,12400,1310,380.8,4.43,FD,FA,12400,1310,374.4
*,SH,950×350,SH-950x350x19x36x18,950,350,19,36,18,421.6,331,639000,25800,38.9,7.82,13500,1470,9.24,6.97,15300,2290,19,36,7.53,FC,FA,13500,1470,421.6,5.45,FD,FA,13500,1470,408.8,4.99,FD,FA,13500,1470,402.4
*,SH,950×350,SH-950x350x19x40x18,950,350,19,40,18,448.1,352,689000,28600,39.2,7.99,14500,1640,9.34,6.34,16500,2530,19,40,8.37,FC,FA,14500,1640,448.1,6.05,FD,FA,14500,1640,436.8,,,,,,
*,SH,950×400,SH-950x400x16x22x18,950,400,16,22,18,323.7,254,484000,23500,38.7,8.52,10200,1180,10.3,11.1,11600,1820,16,22,5.26,FD,FB,10200,1180,307.3,3.81,FD,FC,10200,1180,288.9,3.48,FD,FC,10200,1180,284.4
*,SH,950×400,SH-950x400x16x25x18,950,400,16,25,18,346.8,272,531000,26700,39.1,8.77,11200,1340,10.4,9.9,12600,2060,16,25,5.98,FD,FA,11200,1340,331.3,4.32,FD,FC,11200,1340,312.9,3.96,FD,FC,11200,1340,308.4
*,SH,950×400,SH-950x400x16x28x18,950,400,16,28,18,369.8,290,577000,29900,39.5,8.99,12100,1500,10.5,8.95,13600,2300,16,28,6.7,FD,FA,12100,1500,355.3,4.84,FD,FC,12100,1500,336.9,4.43,FD,FC,12100,1500,332.4
*,SH,950×400,SH-950x400x16x32x18,950,400,16,32,18,400.5,314,638000,34200,39.9,9.24,13400,1710,10.7,7.93,15000,2620,16,32,7.65,FD,FA,13400,1710,387.3,5.53,FD,FC,13400,1710,368.9,5.07,FD,FC,13400,1710,364.4
*,SH,950×400,SH-950x400x19x25x18,950,400,19,25,18,373.8,293,549000,26700,38.3,8.46,11600,1340,10.3,9.75,13200,2080,19,25,5.98,FC,FA,11600,1340,373.8,4.32,FD,FB,11600,1340,356.8,3.96,FD,FB,11600,1340,350.4
*,SH,950×400,SH-950x400x19x28x18,950,400,19,28,18,396.6,311,595000,29900,38.7,8.69,12500,1500,10.4,8.82,14200,2320,19,28,6.7,FC,FA,12500,1500,396.6,4.84,FD,FA,12500,1500,380.8,4.43,FD,FA,12500,1500,374.4
*,SH,950×400,SH-950x400x19x32x18,950,400,19,32,18,427.1,335,655000,34200,39.2,8.95,13800,1710,10.6,7.83,15600,2640,19,32,7.65,FC,FA,13800,1710,427.1,5.53,FD,FA,13800,1710,412.8,5.07,FD,FA,13800,1710,406.4
*,SH,950×400,SH-950x400x19x36x18,950,400,19,36,18,457.6,359,714000,38500,39.5,9.17,15000,1920,10.7,7.04,16900,2960,19,36,8.61,FC,FA,15000,1920,457.6,6.23,FD,FA,15000,1920,444.8,5.7,FD,FA,15000,1920,438.4
*,SH,950×400,SH-950x400x19x40x18,950,400,19,40,18,488.1,383,772000,42700,39.8,9.36,16300,2140,10.8,6.4,18300,3280,19,40,9.57,FC,FA,16300,2140,488.1,6.92,FD,FA,16300,2140,476.8,,,,,,
*,SH,1000×250,SH-1000x250x16x22x18,1000,250,16,22,18,265.7,209,386000,5770,38.1,4.66,7720,461,6.01,10.9,9170,752,16,22,3.12,FD,FA,7720,461,241.3,2.26,FD,FC,7720,461,222.9,2.07,FD,FD,7720,461,218.4
*,SH,1000×250,SH-1000x250x16x25x18,1000,250,16,25,18,279.8,220,418000,6550,38.6,4.84,8350,524,6.14,9.82,9830,845,16,25,3.55,FD,FA,8350,524,256.3,2.57,FD,FC,8350,524,237.9,2.35,FD,FD,8350,524,233.4
*,SH,1000×250,SH-1000x250x16x28x18,1000,250,16,28,18,293.8,231,449000,7330,39.1,4.99,8980,586,6.25,8.93,10500,939,16,28,3.98,FD,FA,8980,586,271.3,2.88,FD,FC,8980,586,252.9,2.63,FD,FD,8980,586,248.4
*,SH,1000×250,SH-1000x250x16x32x18,1000,250,16,32,18,312.5,245,490000,8370,39.6,5.17,9810,670,6.37,7.96,11400,1060,16,32,4.54,FD,FA,9810,670,291.3,3.29,FD,FC,9810,670,272.9,3.01,FD,FD,9810,670,268.4
*,SH,1000×250,SH-1000x250x19x25x18,1000,250,19,25,18,308.3,242,439000,6570,37.7,4.62,8780,526,6,9.6,10500,871,19,25,3.55,FD,FA,8780,526,307.7,2.57,FD,FA,8780,526,281.8,2.35,FD,FB,8780,526,275.4
*,SH,1000×250,SH-1000x250x19x28x18,1000,250,19,28,18,322.1,253,470000,7350,38.2,4.78,9400,588,6.12,8.74,11200,964,19,28,3.98,FD,FA,9400,588,322.1,2.88,FD,FA,9400,588,296.8,2.63,FD,FB,9400,588,290.4
*,SH,1000×250,SH-1000x250x19x32x18,1000,250,19,32,18,340.6,267,511000,8390,38.7,4.96,10200,671,6.25,7.81,12000,1090,19,32,4.54,FD,FA,10200,671,340.6,3.29,FD,FA,10200,671,316.8,3.01,FD,FB,10200,671,310.4
*,SH,1000×250,SH-1000x250x19x36x18,1000,250,19,36,18,359.1,282,551000,9430,39.2,5.13,11000,755,6.36,7.06,12900,1210,19,36,5.11,FD,FA,11000,755,359.1,3.7,FD,FA,11000,755,336.8,3.38,FD,FB,11000,755,330.4
*,SH,1000×250,SH-1000x250x19x40x18,1000,250,19,40,18,377.6,296,590000,10500,39.5,5.27,11800,838,6.45,6.45,13700,1340,19,40,5.68,FD,FA,11800,838,377.6,4.11,FD,FA,11800,838,356.8,,,,,,
*,SH,1000×300,SH-1000x300x16x22x18,1000,300,16,22,18,287.7,226,438000,9940,39,5.88,8770,662,7.4,11.2,10200,1050,16,22,3.75,FD,FA,8770,662,263.3,2.71,FD,FC,8770,662,244.9,2.48,FD,FD,8770,662,240.4
*,SH,1000×300,SH-1000x300x16x25x18,1000,300,16,25,18,304.8,239,477000,11300,39.6,6.09,9540,752,7.54,10.1,11100,1190,16,25,4.26,FD,FA,9540,752,281.3,3.08,FD,FC,9540,752,262.9,2.82,FD,FD,9540,752,258.4
*,SH,1000×300,SH-1000x300x16x28x18,1000,300,16,28,18,321.8,253,515000,12600,40,6.27,10300,842,7.66,9.12,11900,1320,16,28,4.77,FD,FA,10300,842,299.3,3.45,FD,FC,10300,842,280.9,3.16,FD,FD,10300,842,276.4
*,SH,1000×300,SH-1000x300x16x32x18,1000,300,16,32,18,344.5,270,565000,14400,40.5,6.47,11300,962,7.78,8.11,12900,1500,16,32,5.45,FD,FA,11300,962,323.3,3.94,FD,FC,11300,962,304.9,3.61,FD,FD,11300,962,300.4
*,SH,1000×300,SH-1000x300x19x25x18,1000,300,19,25,18,333.3,262,498000,11300,38.7,5.83,9970,754,7.39,9.85,11700,1210,19,25,4.26,FD,FA,9970,754,332.7,3.08,FD,FA,9970,754,306.8,2.82,FD,FB,9970,754,300.4
*,SH,1000×300,SH-1000x300x19x28x18,1000,300,19,28,18,350.1,275,536000,12700,39.1,6.01,10700,844,7.52,8.95,12500,1350,19,28,4.77,FD,FA,10700,844,350.1,3.45,FD,FA,10700,844,324.8,3.16,FD,FB,10700,844,318.4
*,SH,1000×300,SH-1000x300x19x32x18,1000,300,19,32,18,372.6,292,586000,14500,39.6,6.23,11700,964,7.66,7.98,13600,1530,19,32,5.45,FD,FA,11700,964,372.6,3.94,FD,FA,11700,964,348.8,3.61,FD,FB,11700,964,342.4
*,SH,1000×300,SH-1000x300x19x36x18,1000,300,19,36,18,395.1,310,634000,16300,40.1,6.41,12700,1080,7.77,7.2,14600,1710,19,36,6.14,FD,FA,12700,1080,395.1,4.44,FD,FA,12700,1080,372.8,4.06,FD,FB,12700,1080,366.4
*,SH,1000×300,SH-1000x300x19x40x18,1000,300,19,40,18,417.6,328,682000,18100,40.4,6.58,13600,1200,7.87,6.56,15700,1890,19,40,6.82,FD,FA,13600,1200,417.6,4.93,FD,FA,13600,1200,396.8,,,,,,
*,SH,1000×350,SH-1000x350x16x22x18,1000,350,16,22,18,309.7,243,491000,15800,39.8,7.13,9820,900,8.8,11.4,11300,1410,16,22,4.37,FD,FA,9820,900,285.3,3.16,FD,FC,9820,900,266.9,2.9,FD,FD,9820,900,262.4
*,SH,1000×350,SH-1000x350x16x25x18,1000,350,16,25,18,329.8,259,536000,17900,40.3,7.37,10700,1020,8.95,10.2,12300,1600,16,25,4.97,FD,FA,10700,1020,306.3,3.59,FD,FC,10700,1020,287.9,3.29,FD,FD,10700,1020,283.4
*,SH,1000×350,SH-1000x350x16x28x18,1000,350,16,28,18,349.8,275,581000,20000,40.8,7.57,11600,1150,9.07,9.26,13200,1780,16,28,5.57,FD,FA,11600,1150,327.3,4.03,FD,FC,11600,1150,308.9,3.69,FD,FD,11600,1150,304.4
*,SH,1000×350,SH-1000x350x16x32x18,1000,350,16,32,18,376.5,296,640000,22900,41.2,7.8,12800,1310,9.21,8.22,14500,2020,16,32,6.36,FD,FA,12800,1310,355.3,4.6,FD,FC,12800,1310,336.9,4.21,FD,FD,12800,1310,332.4
*,SH,1000×350,SH-1000x350x19x25x18,1000,350,19,25,18,358.3,281,558000,17900,39.5,7.07,11200,1020,8.79,10,12900,1620,19,25,4.97,FD,FA,11200,1020,357.7,3.59,FD,FA,11200,1020,331.8,3.29,FD,FB,11200,1020,325.4
*,SH,1000×350,SH-1000x350x19x28x18,1000,350,19,28,18,378.1,297,602000,20100,39.9,7.28,12000,1150,8.92,9.11,13900,1800,19,28,5.57,FD,FA,12000,1150,378.1,4.03,FD,FA,12000,1150,352.8,3.69,FD,FB,12000,1150,346.4
*,SH,1000×350,SH-1000x350x19x32x18,1000,350,19,32,18,404.6,318,661000,22900,40.4,7.53,13200,1310,9.07,8.1,15100,2050,19,32,6.36,FD,FA,13200,1310,404.6,4.6,FD,FA,13200,1310,380.8,4.21,FD,FB,13200,1310,374.4
*,SH,1000×350,SH-1000x350x19x36x18,1000,350,19,36,18,431.1,338,718000,25800,40.8,7.73,14400,1470,9.2,7.3,16400,2290,19,36,7.16,FD,FA,14400,1470,431.1,5.18,FD,FA,14400,1470,408.8,4.74,FD,FB,14400,1470,402.4
*,SH,1000×350,SH-1000x350x19x40x18,1000,350,19,40,18,457.6,359,775000,28600,41.1,7.91,15500,1640,9.3,6.64,17600,2540,19,40,7.95,FD,FA,15500,1640,457.6,5.75,FD,FA,15500,1640,436.8,5.26,FD,FA,15500,1640,430.4
*,SH,1000×400,SH-1000x400x16x22x18,1000,400,16,22,18,331.7,260,544000,23500,40.5,8.42,10900,1180,10.2,11.6,12400,1820,16,22,5,FD,FB,10900,1180,307.3,3.61,FD,FC,10900,1180,288.9,3.31,FD,FD,10900,1180,284.4
*,SH,1000×400,SH-1000x400x16x25x18,1000,400,16,25,18,354.8,279,596000,26700,41,8.68,11900,1340,10.4,10.4,13500,2060,16,25,5.68,FD,FA,11900,1340,331.3,4.11,FD,FC,11900,1340,312.9,3.76,FD,FD,11900,1340,308.4
*,SH,1000×400,SH-1000x400x16x28x18,1000,400,16,28,18,377.8,297,647000,29900,41.4,8.9,12900,1500,10.5,9.37,14600,2300,16,28,6.36,FD,FA,12900,1500,355.3,4.6,FD,FC,12900,1500,336.9,4.21,FD,FD,12900,1500,332.4
*,SH,1000×400,SH-1000x400x16x32x18,1000,400,16,32,18,408.5,321,715000,34200,41.8,9.15,14300,1710,10.6,8.31,16000,2620,16,32,7.27,FD,FA,14300,1710,387.3,5.26,FD,FC,14300,1710,368.9,4.81,FD,FD,14300,1710,364.4
*,SH,1000×400,SH-1000x400x19x25x18,1000,400,19,25,18,383.3,301,617000,26700,40.1,8.35,12300,1340,10.2,10.2,14200,2090,19,25,5.68,FD,FA,12300,1340,382.7,4.11,FD,FB,12300,1340,356.8,3.76,FD,FB,12300,1340,350.4
*,SH,1000×400,SH-1000x400x19x28x18,1000,400,19,28,18,406.1,319,669000,29900,40.6,8.58,13400,1500,10.3,9.23,15200,2330,19,28,6.36,FD,FA,13400,1500,406.1,4.6,FD,FA,13400,1500,380.8,4.21,FD,FB,13400,1500,374.4
*,SH,1000×400,SH-1000x400x19x32x18,1000,400,19,32,18,436.6,343,736000,34200,41,8.85,14700,1710,10.5,8.2,16700,2650,19,32,7.27,FD,FA,14700,1710,436.6,5.26,FD,FA,14700,1710,412.8,4.81,FD,FB,14700,1710,406.4
*,SH,1000×400,SH-1000x400x19x36x18,1000,400,19,36,18,467.1,367,802000,38500,41.4,9.07,16000,1920,10.6,7.38,18100,2970,19,36,8.18,FD,FA,16000,1920,467.1,5.92,FD,FA,16000,1920,444.8,5.42,FD,FB,16000,1920,438.4
*,SH,1000×400,SH-1000x400x19x40x18,1000,400,19,40,18,497.6,391,867000,42700,41.7,9.27,17300,2140,10.7,6.7,19500,3290,19,40,9.09,FD,FA,17300,2140,497.6,6.57,FD,FA,17300,2140,476.8,6.02,FD,FA,17300,2140,470.4
