*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
_,中幅,900×300,H-900x300x16x28x18,900,300,16,28,18,305.8,240,404000,12600,36.4,6.43,8990,842,7.75,8.31,10300,1320,16,28,5.3,FD,FA,8990,842,299.3,3.83,FD,FB,8990,842,280.9,,,,,,
*,中幅,900×300,H-912x302x18x34x18,912,302,18,34,18,360.1,283,491000,15700,36.9,6.59,10800,1040,7.9,7.01,12300,1620,18,34,6.4,FC,FA,10800,1040,360.1,4.62,FD,FA,10800,1040,346.7,,,,,,
*,中幅,900×300,H-918x303x19x37x18,918,303,19,37,18,387.4,304,535000,17200,37.2,6.67,11700,1140,7.96,6.52,13400,1780,19,37,6.94,FB,FA,11700,1140,387.4,5.02,FD,FA,11700,1140,381,,,,,,
_,細幅,150×75,H-150x75x5x7x8,150,75,5,7,8,17.85,14,666,49.5,6.11,1.66,88.8,13.2,1.96,5.6,102,20.8,5,7,1.99,FA,FA,88.8,13.2,17.85,1.44,FA,FA,88.8,13.2,17.85,,,,,,
_,細幅,175×90,H-175x90x5x8x8,175,90,5,8,8,22.9,18,1210,97.5,7.26,2.06,138,21.7,2.39,5.81,156,33.6,5,8,2.34,FA,FA,138,21.7,22.9,1.69,FA,FA,138,21.7,22.9,,,,,,
_,細幅,200×100,H-198x99x4.5x7x8,198,99,4.5,7,8,22.69,17.8,1540,113,8.25,2.24,156,22.9,2.6,7.43,175,35.5,4.5,7,1.99,FA,FA,156,22.9,22.69,1.44,FD,FA,156,22.9,22.69,,,,,,
_,細幅,200×100,H-200x100x5.5x8x8,200,100,5.5,8,8,26.67,20.9,1810,134,8.23,2.24,181,26.7,2.63,6.57,205,41.6,5.5,8,2.27,FA,FA,181,26.7,26.67,1.64,FA,FA,181,26.7,26.67,,,,,,
_,細幅,250×125,H-248x124x5x8x8,248,124,5,8,8,31.99,25.1,3450,255,10.4,2.82,278,41.1,3.27,8.19,312,63.2,5,8,2.27,FC,FA,278,41.1,31.99,1.64,FD,FB,278,41.1,31.38,,,,,,
_,細幅,250×125,H-250x125x6x9x8,250,125,6,9,8,36.97,29,3960,294,10.4,2.82,317,47,3.3,7.33,358,72.7,6,9,2.56,FA,FA,317,47,36.97,1.85,FC,FA,317,47,36.97,,,,,,
_,細幅,300×150,H-298x149x5.5x8x13,298,149,5.5,8,13,40.8,32,6320,442,12.4,3.29,424,59.3,3.85,9.61,475,91.8,5.5,8,2.27,FD,FB,424,59.3,40.8,1.64,FD,FB,424,59.3,39.05,,,,,,
_,細幅,300×150,H-300x150x6.5x9x13,300,150,6.5,9,13,46.78,36.7,7210,508,12.4,3.29,481,67.7,3.87,8.61,542,105,6.5,9,2.56,FB,FA,481,67.7,46.78,1.85,FD,FB,481,67.7,46.78,,,,,,
_,細幅,350×175,H-346x174x6x9x13,346,174,6,9,13,52.45,41.2,11000,791,14.5,3.88,638,91,4.53,10,712,140,6,9,2.57,FD,FB,638,91,51.59,1.86,FD,FC,638,91,49.01,,,,,,
_,細幅,350×175,H-350x175x7x11x13,350,175,7,11,13,62.91,49.4,13500,984,14.6,3.96,771,112,4.6,8.35,864,173,7,11,3.12,FC,FA,771,112,62.91,2.26,FD,FB,771,112,61.75,,,,,,
*,細幅,350×175,H-354x176x8x13x13,354,176,8,13,13,73.45,57.7,16000,1180,14.8,4.01,906,134,4.65,7.2,1020,208,8,13,3.67,FA,FA,906,134,73.45,2.65,FD,FA,906,134,73.45,,,,,,
_,細幅,400×200,H-396x199x7x11x13,396,199,7,11,13,71.41,56.1,19800,1450,16.6,4.5,999,145,5.23,9.45,1110,223,7,11,3.14,FD,FB,999,145,70.54,2.27,FD,FB,999,145,67.03,,,,,,
_,細幅,400×200,H-400x200x8x13x13,400,200,8,13,13,83.37,65.4,23500,1740,16.8,4.56,1170,174,5.29,8.13,1310,267,8,13,3.69,FC,FA,1170,174,83.37,2.67,FD,FB,1170,174,81.62,,,,,,
*,細幅,400×200,H-404x201x9x15x13,404,201,9,15,13,95.41,74.9,27200,2030,16.9,4.62,1350,202,5.34,7.16,1510,312,9,15,4.24,FA,FA,1350,202,95.41,3.07,FD,FA,1350,202,95.41,,,,,,
*,細幅,450×200,H-446x199x8x12x13,446,199,8,12,13,82.97,65.1,28100,1580,18.4,4.36,1260,159,5.16,9.64,1420,245,8,12,3.04,FD,FA,1260,159,81.98,2.2,FD,FB,1260,159,77.38,,,,,,
_,細幅,450×200,H-450x200x9x14x13,450,200,9,14,13,95.43,74.9,32900,1870,18.6,4.43,1460,187,5.23,8.4,1650,290,9,14,3.53,FC,FA,1460,187,95.43,2.56,FD,FA,1460,187,92.81,,,,,,
*,細幅,450×200,H-456x201x10x17x13,456,201,10,17,13,112,87.9,39800,2310,18.9,4.54,1750,229,5.31,7.09,1980,355,10,17,4.26,FA,FA,1750,229,112,3.08,FD,FA,1750,229,112,,,,,,
*,細幅,500×200,H-496x199x9x14x13,496,199,9,14,13,99.29,77.9,40800,1840,20.3,4.31,1650,185,5.14,9.16,1870,288,9,14,3.19,FD,FA,1650,185,98.35,2.31,FD,FB,1650,185,92.53,,,,,,
_,細幅,500×200,H-500x200x10x16x13,500,200,10,16,13,112.3,88.2,46800,2140,20.4,4.36,1870,214,5.2,8.13,2130,333,10,16,3.64,FC,FA,1870,214,112.3,2.63,FD,FA,1870,214,108.8,,,,,,
*,細幅,500×200,H-506x201x11x19x13,506,201,11,19,13,129.3,102,55500,2580,20.7,4.46,2190,257,5.28,7,2500,399,11,19,4.29,FA,FA,2190,257,129.3,3.1,FD,FA,2190,257,129.3,,,,,,
*,細幅,600×200,H-596x199x10x15x13,596,199,10,15,13,117.8,92.5,66600,1980,23.8,4.1,2240,199,5.03,10,2580,312,10,15,2.85,FD,FA,2240,199,111.7,2.06,FD,FC,2240,199,104.5,,,,,,
_,細幅,600×200,H-600x200x11x17x13,600,200,11,17,13,131.7,103,75600,2270,24,4.16,2520,227,5.09,8.98,2900,358,11,17,3.22,FD,FA,2520,227,130.3,2.33,FD,FB,2520,227,121.6,,,,,,
*,細幅,600×200,H-606x201x12x20x13,606,201,12,20,13,149.8,118,88300,2720,24.3,4.26,2910,270,5.17,7.8,3360,426,12,20,3.77,FC,FA,2910,270,149.8,2.72,FD,FA,2910,270,143.7,,,,,,
*,細幅,600×200,H-612x202x13x23x13,612,202,13,23,13,168,132,101000,3170,24.6,4.35,3310,314,5.25,6.91,3820,495,13,23,4.31,FB,FA,3310,314,168,3.12,FD,FA,3310,314,166.7,,,,,,
_,SH,400×200,SH-400x200x9x12x13,400,200,9,12,13,83.29,65.4,22600,1600,16.5,4.39,1130,160,5.2,8.66,1280,249,9,12,3.41,FA,FA,1130,160,83.29,2.46,FD,FB,1130,160,83.29,,,,,,
_,SH,400×200,SH-400x200x9x16x13,400,200,9,16,13,98.57,77.4,27800,2140,16.8,4.66,1390,214,5.35,6.69,1560,329,9,16,4.54,FA,FA,1390,214,98.57,3.29,FD,FA,1390,214,98.57,,,,,,
_,SH,400×200,SH-400x200x9x19x13,400,200,9,19,13,110,86.4,31600,2540,17,4.8,1580,254,5.43,5.71,1770,388,9,19,5.4,FA,FA,1580,254,110,3.9,FC,FA,1580,254,110,,,,,,
_,SH,400×200,SH-400x200x9x22x13,400,200,9,22,13,121.5,95.4,35300,2940,17,4.92,1760,294,5.49,4.99,1970,448,9,22,6.25,FA,FA,1760,294,121.5,4.52,FC,FA,1760,294,121.5,,,,,,
_,SH,400×200,SH-400x200x12x16x13,400,200,12,16,13,109.6,86,29100,2140,16.3,4.42,1450,214,5.25,6.56,1660,335,12,16,4.54,FA,FA,1450,214,109.6,3.29,FA,FA,1450,214,109.6,,,,,,
_,SH,400×200,SH-400x200x12x19x13,400,200,12,19,13,120.9,94.9,32800,2540,16.5,4.58,1640,254,5.34,5.62,1870,394,12,19,5.4,FA,FA,1640,254,120.9,3.9,FA,FA,1640,254,120.9,,,,,,
_,SH,400×200,SH-400x200x12x22x13,400,200,12,22,13,132.2,104,36400,2940,16.6,4.72,1820,294,5.41,4.92,2070,454,12,22,6.25,FA,FA,1820,294,132.2,4.52,FA,FA,1820,294,132.2,,,,,,
_,SH,450×200,SH-450x200x9x12x13,450,200,9,12,13,87.79,68.9,29500,1600,18.3,4.27,1310,160,5.13,9.62,1490,250,9,12,3.03,FC,FA,1310,160,87.79,2.19,FD,FB,1310,160,84.81,,,,,,
_,SH,450×200,SH-450x200x9x16x13,450,200,9,16,13,103.1,80.9,36200,2140,18.8,4.55,1610,214,5.3,7.45,1810,330,9,16,4.04,FC,FA,1610,214,103.1,2.92,FD,FA,1610,214,100.8,,,,,,
_,SH,450×200,SH-450x200x9x19x13,450,200,9,19,13,114.5,89.9,41200,2540,19,4.71,1830,254,5.38,6.37,2050,389,9,19,4.8,FC,FA,1830,254,114.5,3.47,FD,FA,1830,254,112.8,,,,,,
_,SH,450×200,SH-450x200x9x22x13,450,200,9,22,13,126,98.9,45900,2940,19.1,4.83,2040,294,5.44,5.57,2280,449,9,22,5.55,FC,FA,2040,294,126,4.02,FD,FA,2040,294,124.8,,,,,,
_,SH,450×200,SH-450x200x12x16x13,450,200,12,16,13,115.6,90.7,38100,2140,18.1,4.3,1690,214,5.18,7.28,1940,336,12,16,4.04,FA,FA,1690,214,115.6,2.92,FA,FA,1690,214,115.6,,,,,,
_,SH,450×200,SH-450x200x12x19x13,450,200,12,19,13,126.9,99.6,42900,2540,18.4,4.47,1910,254,5.28,6.26,2180,396,12,19,4.8,FA,FA,1910,254,126.9,3.47,FA,FA,1910,254,126.9,,,,,,
_,SH,450×200,SH-450x200x12x22x13,450,200,12,22,13,138.2,108,47600,2940,18.6,4.61,2120,294,5.36,5.48,2410,456,12,22,5.55,FA,FA,2120,294,138.2,4.02,FA,FA,2120,294,138.2,,,,,,
_,SH,450×200,SH-450x200x12x25x13,450,200,12,25,13,149.5,117,52200,3340,18.7,4.73,2320,334,5.42,4.88,2630,516,12,25,6.31,FA,FA,2320,334,149.5,4.56,FA,FA,2320,334,149.5,,,,,,
_,SH,450×250,SH-450x250x9x12x13,450,250,9,12,13,99.79,78.3,35200,3130,18.8,5.6,1570,250,6.55,9.83,1750,385,9,12,3.79,FC,FB,1570,250,99.79,2.74,FD,FC,1570,250,96.81,,,,,,
_,SH,450×250,SH-450x250x9x16x13,450,250,9,16,13,119.1,93.5,43800,4170,19.2,5.92,1950,334,6.73,7.57,2160,510,9,16,5.05,FC,FA,1950,334,119.1,3.65,FD,FB,1950,334,116.8,,,,,,
_,SH,450×250,SH-450x250x9x19x13,450,250,9,19,13,133.5,105,50000,4950,19.3,6.09,2220,396,6.82,6.46,2460,603,9,19,6,FC,FA,2220,396,133.5,4.34,FD,FA,2220,396,131.8,,,,,,
_,SH,450×250,SH-450x250x9x22x13,450,250,9,22,13,148,116,56000,5730,19.5,6.22,2490,459,6.88,5.63,2750,697,9,22,6.94,FC,FA,2490,459,148,5.02,FD,FA,2490,459,146.8,,,,,,
