*,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2
FALSE,500×300,SH-500x300x14x28x13,500,300,14,28,13,231.6,182,105000,12600,21.3,7.38,4180,841,8.26,4.91,4690,1280,14,28
FALSE,500×300,SH-500x300x16x19x13,500,300,16,19,13,189.4,149,79900,8570,20.5,6.73,3200,571,7.93,6.96,3630,886,16,19
FALSE,500×300,SH-500x300x16x22x13,500,300,16,22,13,206.4,162,88800,9920,20.7,6.93,3550,661,8.04,6.09,4020,1020,16,22
FALSE,500×300,SH-500x300x16x25x13,500,300,16,25,13,223.5,175,97600,11300,20.9,7.1,3900,751,8.13,5.42,4400,1160,16,25
FALSE,500×300,SH-500x300x16x28x13,500,300,16,28,13,240.5,189,106000,12600,21,7.24,4240,841,8.21,4.89,4790,1290,16,28
FALSE,500×300,SH-500x300x16x32x13,500,300,16,32,13,263.2,207,117000,14400,21.1,7.4,4680,961,8.28,4.31,5280,1470,16,32
FALSE,550×200,SH-550x200x9x12x13,550,200,9,12,13,96.79,76,46600,1600,22,4.07,1700,160,5.01,11.5,1950,252,9,12
FALSE,550×200,SH-550x200x9x16x13,550,200,9,16,13,112.1,88,57000,2140,22.6,4.37,2070,214,5.2,8.93,2350,332,9,16
FALSE,550×200,SH-550x200x9x19x13,550,200,9,19,13,123.5,96.9,64600,2540,22.9,4.53,2350,254,5.29,7.66,2640,391,9,19
FALSE,550×200,SH-550x200x9x22x13,550,200,9,22,13,135,106,72000,2940,23.1,4.66,2620,294,5.36,6.71,2940,451,9,22
FALSE,550×200,SH-550x200x12x16x13,550,200,12,16,13,127.6,100,60500,2140,21.8,4.1,2200,214,5.06,8.69,2550,340,12,16
FALSE,550×200,SH-550x200x12x19x13,550,200,12,19,13,138.9,109,67900,2540,22.1,4.28,2470,254,5.17,7.48,2840,400,12,19
FALSE,550×200,SH-550x200x12x22x13,550,200,12,22,13,150.2,118,75200,2940,22.4,4.43,2740,294,5.26,6.57,3130,460,12,22
FALSE,550×200,SH-550x200x12x25x13,550,200,12,25,13,161.5,127,82300,3340,22.6,4.55,2990,334,5.33,5.86,3410,519,12,25
FALSE,550×250,SH-550x250x9x12x13,550,250,9,12,13,108.8,85.4,55300,3130,22.6,5.36,2010,250,6.42,11.8,2270,387,9,12
FALSE,550×250,SH-550x250x9x16x13,550,250,9,16,13,128.1,101,68400,4170,23.1,5.71,2490,334,6.62,9.1,2780,512,9,16
FALSE,550×250,SH-550x250x9x19x13,550,250,9,19,13,142.5,112,78000,4950,23.4,5.89,2840,396,6.72,7.78,3150,605,9,19
FALSE,550×250,SH-550x250x9x22x13,550,250,9,22,13,157,123,87300,5730,23.6,6.04,3180,459,6.8,6.8,3520,699,9,22
TRUE,550×250,SH-550x250x12x16x13,550,250,12,16,13,143.6,113,71900,4180,22.4,5.39,2610,334,6.47,8.9,2980,520,12,16
FALSE,550×250,SH-550x250x12x19x13,550,250,12,19,13,157.9,124,81300,4960,22.7,5.6,2960,397,6.59,7.63,3350,613,12,19
FALSE,550×250,SH-550x250x12x22x13,550,250,12,22,13,172.2,135,90600,5740,22.9,5.77,3290,459,6.69,6.69,3710,707,12,22
FALSE,550×250,SH-550x250x12x25x13,550,250,12,25,13,186.5,146,99600,6520,23.1,5.91,3620,522,6.76,5.95,4070,801,12,25
FALSE,550×250,SH-550x250x12x28x13,550,250,12,28,13,200.7,158,108000,7300,23.2,6.03,3940,584,6.82,5.36,4420,894,12,28
